GEOPROCESADOS S.A. DE C.V.,GEOPROCESADOS SA DE CV,mx,2441568,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/2441568,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=2441568
TRANSPORTACIONES Y CONSTRUCCIONES TAMAULIPECOS S.A. DE C.V.,TRANSPORTACIONES Y CONSTRUCCIONES TAMAULIPECOS SA DE CV,mx,2290891,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/2290891,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=2290891
MSLI GP,nomatch
"NITROPET, S.A. DE C. V.",nomatch
"PROBADORES PETROLEROS, S. A. DE C.V.",PROBADORES PETROLEROS S.A. DE C.V.,mx,1072876,[],,,[],[],,,,,,60.0,False,http://opencorporates.com/companies/mx/1072876,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1072876
"BAKER HUGHES DE MEXICO,S. DE R.L. DE C.V.","BAKER HUGHES DE MEXICO, S. DE R.L. DE C.V.",mx,1495948,[],,,[],[],,,,,,60.0,False,http://opencorporates.com/companies/mx/1495948,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1495948
"SEINFE, S.A. DE C.V.",nomatch
THE MUDLOGGING COMPANY MEXICO S.A. DE C.V.,nomatch
"COOPER CAMERON DE MEXICO, S.A DE C.V.",nomatch
CORPORATIVO INDUSTRIAL Y COMERCIAL S.A DE C.V.,nomatch
MATERIALES Y EQUIPO PETROLERO S.A. DE C.V.,"MATERIALES Y EQUIPO PETROLERO, S.A. DE C.V. MATYPE",mx,2616170,[],,,[],[],,,,,,70.0,False,http://opencorporates.com/companies/mx/2616170,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=2616170
"COOPER CAMERON DE MEXICO, S.A. DE C.V.",nomatch
"FMC TECHNOLOGIES DE MÉXICO, S. A. DE C.V.","F.M.C. TECHNOLOGIES DE MEXICO, S.A. DE C.V.",mx,1349301,[],,,[],[],,"FMC TECHNOLOGIES, INC.",us_de,https://opencorporates.com/companies/us_de/3315658,,80.0,False,http://opencorporates.com/companies/mx/1349301,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1349301
SEISMOGRAPH SERVICE DE MEXICO SA DE CV,nomatch
"TUBACERO, S.A. DE C.V.",nomatch
